Dep,Prov,Sec,NomDep,NomProv,NombreMunicipio,IdLoc,AsientoElectoral,Reci,NombreRecinto,Dist,NomDist,Zona,NomZona,Direccion,MaxMesasReci,NroCircun,TipoCircun,NomCircun,latitud,longitud,idTipoRecinto,TipoRecinto,idUrbanoRural,descUrbanoRural
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7004,Col. 30 de Marzo,3,DISTRITO 3,209,91A,Barrio Olender C/Las Palmas entre C/Cupesi y Av. Sudamenricana,15,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.80647,-63.14708,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7005,Col. Heroes Del Chaco,3,DISTRITO 3,208,91,B/Heroes del Chaco Av. Flavio Palma y C/ 7 de Agosto,16,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.801187,-63.144536,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7006,Col. San Silvestre,7,DISTRITO 7,3,100,Barrio Banzer Los Tajibos entre 22 de Septiembre y 2 de Agosto,21,48,Uninominal,Cuadragésimo Octava-Santa Cruz,-17.81204,-63.11408,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7007,Col. Angela Pinckert,7,DISTRITO 7,212,95,Barrio 26 de Mayo Av. Litoral Ente Avl Acre y Calle 1,22,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.80643,-63.12423,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7008,U.E. 27 de mayo,7,DISTRITO 7,211,94,B/27 de Mayo C/Entre 15 y 16,13,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.802284,-63.130241,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7009,Col. Gilberto Menacho,7,DISTRITO 7,206,89,Barrio Sucre Villa 1ro. de Mayo C/12,12,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.79899,-63.12507,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7010,U.E.  Kinder 27 de Mayo,7,DISTRITO 7,211,94,Z/V. 1ro. de Mayo B/27 de Mayo C/15 y 16,10,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.802387,-63.128804,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7011,Col. Bertha Cuellar,7,DISTRITO 7,199,82,Barrio San Juan C/ C  entre C/4 y Av. San Juan,18,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.789797,-63.136761,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7012,Col. Pampa De La Cruz,7,DISTRITO 7,203,86,Barrio Pampa de La Cruz - Av. Cumavi y Av. D,12,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.79276,-63.12878,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7013,Col. 18 de Marzo,7,DISTRITO 7,201,84,Barrio 18 de Marzo C/ Agua Marina y Calle Velasco,20,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.78999,-63.12068,7,Unidad Educativa,20,Urbano
